timestamp,position,gt_position,action,gt_action,response_time,sync,is_action_correct,is_position_correct
1632969634.8233352,None,3 1 2,None,dab,10.00945234298706,0,False,False
1632969634.838198,2 3 1,2 3 1,dab,dab,0.010273933410644531,125,True,True
1632969638.8407776,3 1 2,1 2 3,jamesbond,jamesbond,3.9987215995788574,194,True,False
1632969642.8476708,1 3 2,2 1 3,jamesbond,dab,4.002345323562622,39,False,False
1632969646.8501751,2 3 1,1 2 3,dab,mermaid,3.995887041091919,62,False,False
1632969650.855097,1 2 3,3 2 1,mermaid,jamesbond,4.001546621322632,191,False,False
1632969654.857324,1 2 3,3 2 1,jamesbond,mermaid,3.999049186706543,186,False,False
1632969658.8625464,3 2 1,2 1 3,jamesbond,dab,3.992794990539551,183,False,False
1632969662.8666732,3 1 2,2 1 3,dab,mermaid,4.000774621963501,33,False,False
1632969666.8718824,2 3 1,2 3 1,mermaid,mermaid,4.001937389373779,100,True,True
1632969670.8764021,2 3 1,1 3 2,jamesbond,jamesbond,4.001301288604736,187,True,False
1632969674.8789432,2 1 3,2 1 3,mermaid,jamesbond,3.9991021156311035,153,False,True
1632969678.884159,1 2 3,2 3 1,dab,jamesbond,4.001437187194824,186,False,False
1632970315.879247,None,2 3 1,None,mermaid,10.011710166931152,0,False,False
1632970347.7181072,None,2 1 3,None,dab,10.004910945892334,0,False,False
1632970347.7310503,3 1 2,2 3 1,mermaid,mermaid,0.00854039192199707,81,True,False
1632970351.7441978,3 2 1,1 2 3,jamesbond,dab,4.008718729019165,8,False,False
1632970355.7509766,2 1 3,2 1 3,mermaid,mermaid,3.992597818374634,163,True,True
1632970359.756431,1 3 2,3 1 2,dab,dab,3.9886465072631836,173,True,False
1632970363.7596693,1 2 3,2 1 3,mermaid,mermaid,3.9866795539855957,168,True,False
1632970367.7532067,3 2 1,1 3 2,dab,jamesbond,3.9776365756988525,79,False,False
1632970371.7692034,1 2 3,2 3 1,mermaid,jamesbond,4.009466648101807,13,False,False
1632970375.7732148,2 3 1,1 2 3,dab,jamesbond,3.9865503311157227,19,False,False
1632970379.7795794,3 1 2,3 2 1,jamesbond,jamesbond,3.992875576019287,196,True,False
1632970383.784544,1 3 2,3 2 1,mermaid,dab,3.988478899002075,154,False,False
1632970387.782717,1 3 2,3 2 1,jamesbond,mermaid,3.9890453815460205,106,False,False
1632970391.7955449,2 3 1,1 3 2,mermaid,mermaid,4.00459098815918,72,True,False
1632970617.1167154,None,1 2 3,None,dab,10.019253015518188,0,False,False
1632970617.1620088,2 3 1,3 2 1,jamesbond,mermaid,0.025128602981567383,69,False,False
1632970621.1659212,2 3 1,2 3 1,mermaid,jamesbond,3.9936623573303223,160,False,True
1632970625.1624105,3 2 1,1 3 2,mermaid,mermaid,3.9818763732910156,120,True,False
1632970629.177666,3 1 2,1 3 2,jamesbond,dab,4.008257150650024,17,False,False
1632970633.1846666,2 3 1,3 1 2,dab,dab,3.9927265644073486,61,True,False
1632970637.1886075,2 3 1,3 1 2,jamesbond,dab,3.9845292568206787,183,False,False
1632970641.1800056,3 2 1,2 1 3,mermaid,mermaid,3.9742393493652344,60,True,False
1632970645.1878011,2 3 1,3 2 1,dab,jamesbond,4.004518270492554,10,False,False
1632970649.2040882,3 2 1,3 2 1,dab,jamesbond,4.009567737579346,143,False,True
1632970653.2089143,2 1 3,1 3 2,dab,jamesbond,3.985887050628662,134,False,False
1632970657.2145276,1 3 2,1 3 2,jamesbond,mermaid,3.9929144382476807,9,False,True
1632970661.220492,1 3 2,1 2 3,dab,mermaid,3.989518404006958,23,False,False
1632970762.8830533,None,1 2 3,None,dab,10.010359764099121,0,False,False
1632970762.9154267,3 1 2,3 2 1,mermaid,jamesbond,0.020518779754638672,178,False,False
1632970766.9249878,1 3 2,3 1 2,mermaid,jamesbond,4.000788450241089,189,False,False
1632970770.9304051,3 1 2,3 1 2,dab,jamesbond,3.9885776042938232,159,False,True
1632970774.935654,1 3 2,2 1 3,mermaid,mermaid,3.987469434738159,63,True,False
1632970778.9274611,3 1 2,1 3 2,dab,dab,3.973790168762207,174,True,False
1632970782.9411368,2 1 3,3 2 1,dab,mermaid,4.0105979442596436,80,False,False
1632970786.9382086,2 1 3,3 1 2,dab,dab,3.9867210388183594,75,True,False
1632970790.9532862,1 2 3,1 2 3,mermaid,mermaid,4.005943059921265,156,True,True
1632970794.958154,3 1 2,1 3 2,dab,jamesbond,3.9861865043640137,58,False,False
1632970798.9628189,1 3 2,2 1 3,dab,mermaid,3.9895272254943848,163,False,False
1632970802.9694912,1 2 3,2 1 3,jamesbond,dab,3.9903101921081543,132,False,False
1632970806.9695747,2 1 3,2 1 3,dab,dab,3.9862539768218994,48,True,True
1633571859.1083126,None,2 1 3,None,jamesbond,10.008909940719604,0,False,False
1633571859.14022,1 3 2,1 2 3,jamesbond,mermaid,0.016045808792114258,0,False,False
1633571863.1468675,1 2 3,3 1 2,jamesbond,dab,3.9988224506378174,102,False,False
1633571867.147296,2 3 1,1 2 3,jamesbond,jamesbond,3.9863150119781494,180,True,False
1633571871.1517549,1 3 2,2 3 1,jamesbond,mermaid,3.9973833560943604,107,False,False
1633571875.161432,1 2 3,1 3 2,jamesbond,dab,4.003011226654053,199,False,False
